tag,qid_highest,highest_question_viewcount,qid_lowest,lowest_question_viewcount
section508,641824,44,575502,20
secure,588327,530,900763,21
secure-gateway,603682,87,603682,87
securestring,638867,133,951496,19
security,637090,987,944745,8
security-by-obscurity,763572,125,763572,125
security-framework,719320,94,719320,94
security-roles,570042,621,644254,37
securitycenter,911118,20,911118,20
securitymanager,804023,254,820334,56
sed,757532,458,660492,24
seed,817975,260,678013,64
seek,724819,658,774321,62
seekbar,631238,401,631238,401
seekg,823436,21,823436,21
segfault,677444,541,960122,59
segment-tree,789489,162,789489,162
segmentation-fault,647988,578,930742,15
segments,610682,589,874581,73
segregated-free-lists,775144,56,775144,56
seh,617809,144,617809,144
select,564980,2089,814862,20
select-based-server,912974,92,912974,92
select-distinct,949761,196,934206,41
select-statement,741789,132,741789,132
select-until,604800,125,604800,125
selected,592703,291,635380,51
selectedindex,851781,133,851781,133
selectedindexchanged,570294,3680,938383,38
selecteditem,785352,403,592911,128
selecteditemtemplate,570801,1568,634254,598
selectedvalue,580487,580,580487,580
selection,665273,1093,723021,19
selection-object,753672,296,880512,46
selection-tools,910009,136,910009,136
selectionbackcolor,911792,27,911792,27
selectlist,595205,498,823291,42
selectmany,676743,549,894568,37
selectnodes,699184,214,916219,20
selector,739695,443,904273,28
selectors,660652,485,940383,27
selectsinglenode,631173,303,883698,140
selenium,616810,816,939566,14
selenium-ide,714792,138,866856,66
selenium-rc,841572,133,781538,47
self,695442,537,902705,41
self-destruction,708847,277,708847,277
self-employed,762457,73,762457,73
self-improvement,572620,6278,903513,64
self-join,675037,112,715020,87
self-learning,948340,320,886254,28
self-modifying,787100,518,886094,49
self-organization,869708,70,869708,70
self-referential,615797,126,852401,118
self-signed,859111,303,744613,38
self-teaching,713704,1419,905601,74
self-type,695298,122,695298,122
self-updating,802736,99,905285,64
selfanswer,797484,349,681684,101
selinux,739090,451,607599,217
sell,632861,209,741247,90
selling-software,920745,238,777312,48
semantic,669042,736,758482,35
semantic-markup,728674,195,850482,53
semantic-web,725261,371,838447,28
semantics,742686,173,948627,30
semaphore,607112,460,870234,43
semi-programming-related,686334,78,686334,78
semicolon,880757,79,880757,79
semiconductor,696378,263,696378,263
seminar,896965,46,896965,46
semweb,906808,36,906808,36
send,627254,286,688379,68
send-port,608556,207,608556,207
send-to,673763,55,673763,55
sendasync,778649,120,931385,55
sending,590375,66,590375,66
sendkeys,675581,638,876013,43
sendmail,575366,180,909772,15
sendmessage,643202,421,831441,46
sendmsg,913524,39,913524,39
sendto,958628,39,958628,39
sensor,843675,111,842411,48
seo,619241,924,724840,24
separation-of-concerns,611792,204,833682,28
separator,860448,84,948886,25
seperation-degrees,785327,172,785327,172
seperator,666717,68,666717,68
seq-ack,692880,249,692880,249
sequence,798766,591,857119,14
sequence-diagram,570740,112,955296,14
sequence-points,859433,186,945232,66
sequences,898988,185,925859,28
sequential-number,747742,238,747742,238
serial,782053,1610,948859,14
serial-communication,824029,124,891664,52
serial-port,644954,1014,878510,13
serializable,810974,229,945495,50
serialization,647779,657,634780,9
serialize,608730,1020,924145,32
serialized,866629,73,866629,73
serializer,817725,88,817725,88
serialport,765285,204,774731,95
serialversionuid,888335,111,893259,108
series,687695,76,710566,72
serious,587381,207,587381,207
server,641784,1023,925893,15
server-configuration,584422,397,584422,397
server-error,863904,28,863904,28
server-hardware,651665,375,902769,83
server-mode,885793,51,885793,51
server-push,809434,125,731031,50
server-side,810402,1677,955351,17
server-side-includes,602583,257,655513,43
server-side-scripting,713938,328,579246,126
server-tags,564676,101,564676,101
server-variables,821321,35,821321,35
server2003,579180,115,760302,54
server2008,910385,44,910385,44
servercontrols,794500,188,877089,23
serverfault,939507,59,939507,59
servers,631220,179,740115,48
serverside,702403,153,950021,23
serverûmappath,888147,167,935940,96
serverûtransfer,799511,163,826178,10
service,582896,1124,944960,11
service-broker,674783,88,653869,40
service-bus,768492,67,768492,67
service-contracts,695692,114,695692,114
service-design,642137,337,642137,337
service-discovery,628949,79,568028,51
service-factory,666015,58,666015,58
service-installer,692986,32,692986,32
service-locator,735712,63,735712,63
service-menu,583093,70,583093,70
servicebroker,773503,194,773503,194
servicecontract,633090,87,633090,87
servicecontroller,725279,49,725279,49
servicehost,592604,96,683661,35
servicelocator,832445,85,658391,36
servicepacks,610428,655,834956,26
servicereference,844992,57,937395,35
services,610386,594,852227,7
serving,677378,94,677378,94
servlet,685271,530,796200,22
servlet-filter,614832,324,891199,46
servlets,592496,445,837915,17
session,648992,1374,940734,9
session-cache,912542,10,912542,10
session-management,623379,82,847825,52
session-state,589956,697,942178,14
session-storage,575568,427,575568,427
session-timeout,709182,428,763541,48
session-variables,621549,919,940282,32
sessionfactory,659167,249,659167,249
sessionid,597387,201,706161,42
sessions,623551,524,777687,27
sessionstate,940734,9,940734,9
set,721441,792,875607,25
set-associative,818791,101,818791,101
set-attribute,886943,32,886943,32
set-based,777861,27,777861,27
set-theory,606591,64,606591,64
setattribute,748941,220,779881,105
setcookie,620262,35,620262,35
setcounter,815334,128,815334,128
setenv,662466,56,662466,56
setfocus,734751,42,920481,25
setinterval,940120,83,958433,35
setl,804108,16,804108,16
setlocationrelativeto,574746,87,574746,87
setmask,755394,121,755394,121
setparent,796883,239,796883,239
sets,769731,671,826695,29
setsockopt,796957,83,796957,83
setter,847905,250,880357,45
setters,565095,1123,823376,21
setthreadaffinitymask,762961,139,762961,139
settimeout,816100,190,600253,69
settings,650100,648,815892,17
settings-bundle,877128,101,877128,101
setuid,627880,207,634734,55
setup,669690,621,906255,17
setup-deployment,800294,309,767029,21
setup-project,742851,228,834650,21
setupproject,614547,55,832906,37
setuptools,588749,464,894323,26
setvalue,755646,202,755646,202
sexagesimal,656941,221,656941,221
sfguard,906688,22,906688,22
sfinae,822059,331,600175,281
sftp,711334,170,885750,24
sgen,705427,63,705427,63
sgml,745933,88,824918,44
sh,618378,495,924388,28
sha,770900,397,770900,397
sha-1,569683,75,764182,53
sha-3,827989,28,827989,28
sha1,614476,387,862141,44
sha256,839280,65,839280,65
sha512,716771,76,716771,76
shade,852952,39,852952,39
shader,832545,126,946622,23
shaders,882527,60,944713,29
shadow,860972,145,955864,30
shadow-copy,744750,209,660019,143
shadow-it,874242,168,874242,168
shadow-memory,710428,86,710428,86
shadowbox,583632,217,703144,51
shadowing,673779,299,673779,299
shadows,876445,214,750180,97
shallow-copy,791764,143,729788,97
shape,690871,150,860407,19
shaped-window,740993,254,740993,254
shapefile,853311,34,853311,34
shapes,716984,229,888490,14
sharding,810085,60,902393,34
share,581773,170,926547,18
shared,596004,148,857620,22
shared-addin,684438,307,684438,307
shared-hosting,566469,215,819252,13
shared-libraries,614892,530,809571,35
shared-library,663624,144,663624,144
shared-memory,762288,646,940213,11
shared-objects,810177,124,810177,124
shared-ptr,621220,353,890933,43
shared-server,564908,73,564908,73
shared-source,704431,278,764714,111
sharedobject,816511,82,850466,45
sharedobjects,566682,188,836935,66
sharepoint,632181,1140,959305,9
sharepoint-api,610790,246,841491,33
sharepoint-designer,738056,353,948720,19
sharepoint-feature,596674,101,596674,101
sharepoint-language-pack,694441,43,694441,43
sharepoint-services,593652,123,593652,123
sharepoint2003,613512,70,889656,29
sharepoint2007,599108,996,957619,11
sharepoint2010,870552,60,870552,60
sharethis,689295,262,952571,31
shareware,706958,296,834177,58
sharing,617819,223,958673,40
sharing-code,767463,24,767463,24
sharp-architecture,832497,100,859811,95
sharparchitecture,711298,250,711298,250
sharpdevelop,566837,345,620281,128
sharpsvn,684953,190,927005,14
sharpziplib,644161,74,882667,48
shdocview,658839,346,658839,346
shdocvw,714259,78,694480,65
sheet,839460,106,839460,106
shell,573623,1420,825447,10
shell-cmd,759923,163,759923,163
shell-command,929342,63,929342,63
shell-exec,790054,166,825263,55
shell-extension,845126,47,845126,47
shell-extensions,845126,47,845126,47
shell-notifyicon,902642,48,902642,48
shell-script,733824,641,882016,20
shell-scripting,726894,3276,959475,32
shell32,949196,22,949196,22
shellexecute,796883,239,945979,37
shellext,590892,318,854372,71
shellscript,795294,81,795294,81
shellvariables,845897,20,845897,20
shelve,813497,76,813497,76
shelveset,633891,128,633891,128
shelving,931844,36,931844,36
sheridan,854255,93,854255,93
shibboleth,892616,26,892616,26
shift,563544,413,765863,236
shift-company,651676,252,651676,252
shift-reduce-conflict,599774,314,949976,29
shim,609402,129,615710,57
shindig,678097,130,678097,130
shipping,664060,54,664060,54
shockwave,838621,103,838621,103
shoes,617166,161,958662,27
shopping-cart,635760,138,720910,33
short,769963,195,855998,73
short-but-sweet,941447,149,941447,149
short-circuiting,836945,825,743729,219
shortcut,601294,226,909737,13
shortcuts,800791,196,895239,23
shorten,742013,758,742711,115
shortest,896566,72,896566,72
shortest-path,703871,221,918758,61
shorthand,855998,73,855998,73
should-be-wiki,832941,291,680624,134
shoulda,717212,223,836034,34
show,734657,512,929612,46
show-hide,840800,222,675294,141
show-me-the-code,635841,92,635841,92
showcase,691313,124,691313,124
showdialog,816981,121,811762,49
showmodaldialog,710846,123,710846,123
shred,624206,442,913282,23
shrink,775703,235,925988,59
shtml,839272,84,839272,84
shuffle,859253,482,886237,83
shuffling,565618,109,565618,109
shutdown,766397,404,784213,58
sibling,868407,132,868407,132
siblings,842336,105,896009,23
sicp,771013,208,826712,65
side,641784,1023,905725,57
side-by-side,691686,158,951416,16
side-effects,763835,402,810289,63
sidebar,712047,90,811494,31
sidebyside,917957,49,917957,49
sidenote,717131,107,717131,107
siebel,767259,75,767259,75
sieve-of-eratosthenes,586284,347,586284,347
sifr,692990,1011,909101,6
sigils,837665,79,837665,79
sigint,608916,191,813086,161
sign,822388,53,880193,35
signal,726690,324,907867,45
signal-handling,859270,78,859270,78
signal-processing,609297,922,812097,27
signals,609297,922,928829,25
signals-slots,803850,181,799780,94
signature,594130,128,730765,29
signatures,745810,59,745810,59
signed,678806,257,705916,37
signing,718475,168,909181,26
signum-framework,634628,106,634628,106
signup,792755,134,693045,27
sigsegv,619497,243,851624,77
silent,673278,199,949921,125
silent-authentication,755618,146,755618,146
silly,860688,64,860688,64
silveright,784914,35,784914,35
silverlight,582126,786,937755,12
silverlight-2-rc0,645596,147,645575,77
silverlight-2û0,568439,656,951171,10
silverlight-3û0,744474,671,913159,8
silverlight-designer,746198,206,746198,206
silverlight-frameworks,774801,283,774801,283
silverlight-lob,774801,283,774801,283
silverlight-solution,566290,52,566290,52
silverlight-toolkit,749760,169,623492,81
silverlight-wcf,842415,129,842415,129
silverlightpanels,643762,141,643762,141
silverlightûfx,827034,140,837690,34
silverstripe,585924,31,585924,31
similar,775391,663,876142,41
similar-methods,921906,63,921906,63
similarity,579981,685,732934,42
simple,576162,345,618182,54
simplecookie,709937,148,709937,148
simpledb,648270,326,878493,16
simplehttpserver,877033,94,877033,94
simplejson,572991,743,628505,96
simplemodal,622248,587,935573,46
simplepie,608195,100,647240,34
simplest,668952,629,668952,629
simpletest,693071,125,951165,17
simpletip,661140,152,661140,152
simplexml,595946,294,954782,29
simplexml-load-file,872588,21,872588,21
simplicity,860313,194,860313,194
simplification,600068,129,600068,129
simpy,823141,160,816156,29
simulate,806376,133,913948,76
simulation,641906,490,818634,45
simulations,809669,141,809669,141
simulator,849276,259,896487,47
simulink,945846,96,908318,19
simultaneous-calls,768966,213,903615,64
sinatra,816576,233,960121,16
singapore,629664,127,629664,127
single,801117,255,904306,59
single-file,610208,428,610208,428
single-form,815428,132,815428,132
single-sign-on,593081,320,953493,25
single-table-inheritance,646391,282,889250,39
single-threaded,819466,23,819466,23
single-threaded-server,912974,92,912974,92
singleinstance,936501,82,933450,23
singlequote,712443,124,712443,124
singlequotes,927332,45,927332,45
singletableinherience,604870,136,604870,136
singleton,726685,707,771876,34
sio2,601690,1215,601690,1215
sip,625092,389,824416,17
site,585951,378,921948,12
site-definition,612574,229,858279,16
site-mining,782829,34,782829,34
site-template,612574,229,567994,200
sitecollection,888234,50,888234,50
sitecore,577176,423,898719,9
sitedirectory,721794,66,721794,66
sitefinity,751562,44,957614,7
sitemap,629988,371,950217,20
sitemappath,631643,181,760403,35
sitemapprovider,781177,97,781177,97
sitemesh,619699,89,619699,89
sites,606022,438,704590,81
sitetemplate,665595,87,665595,87
siteûmaster,718135,145,718135,145
size,606080,411,960489,26
size-t,918787,125,918787,125
size-type,918567,110,918567,110
sizeof,739727,544,918787,125
sizer,611592,151,815589,67
sizetocontent,841767,130,841767,130
sizing,632716,212,601675,30
sizzle,774774,120,795861,79
skein,827989,28,827989,28
skills,719179,487,903513,64
skin,633800,259,853749,18
skinning,778502,142,890295,27
skins,622891,561,711321,39
skip,604864,220,604864,220
skus,897261,226,897261,226
skydrive,904929,57,904929,57
skype,627517,283,954944,29
sl4j,786924,144,873051,63
slave,948393,48,948393,48
sleep,645992,769,960567,49
slf4j,869945,148,924315,39
slice,580375,407,952924,79
slicehost,870773,105,578165,84
slicing,620604,301,646644,295
slickedit,582046,164,652236,86
slider,625728,279,961235,18
sliderscroller,793861,146,793861,146
slideshow,661505,486,672203,27
slideup,734554,539,814849,58
slideûshow2,672203,27,672203,27
slightly-off-topic,911907,54,911907,54
slightly-offtopic,895165,320,882668,110
slim,851144,104,851144,104
slimbox,854130,107,854130,107
slimdx,636081,520,841873,83
slime,760868,166,886162,62
sliverlight,630805,165,630805,165
sln,831289,225,846180,64
sloc,710218,84,710218,84
slots,844623,175,797230,138
slow,714950,385,935257,32
slug,727281,273,941270,61
smack,919227,123,851156,18
small,940122,15,940122,15
small-business,576197,213,660952,36
small-projects,752733,149,752733,149
small-teams,655186,212,715218,111
smallcaps,636454,104,636454,104
smalldatetime,863405,111,863405,111
smalltalk,711140,16523,808217,30
smart,692438,300,798981,38
smart-pointers,569775,502,700188,51
smart-quotes,663492,135,911587,72
smart-tags,851394,27,851394,27
smartassembly,682292,111,682292,111
smartcard,566179,611,885005,40
smartclient,650917,175,640907,32
smartgwt,876770,215,913847,37
smarthost,850574,92,850574,92
smartpart,839193,50,839193,50
smartphone,657974,255,886827,24
smarty,630714,655,944355,33
smb,680675,82,899995,50
smells,596363,145,596363,145
smells-like-homework,814043,223,799753,82
smime,701110,59,701110,59
sml,810409,345,759040,30
smlnj,672065,252,764362,26
smo,602677,263,885397,12
smoke-testing,745192,247,888622,65
smoothing,921249,171,954039,69
smp,680684,385,680684,385
smpp,828815,69,706012,63
sms,744227,568,802964,23
smtp,565504,1980,806150,16
smtp-headers,727689,93,727689,93
smtpaccess,847912,41,847912,41
smtpclient,656977,147,960302,35
smtpd,784201,108,784201,108
smtplib,778202,173,764778,130
smtppermission,847912,41,847912,41
snap,918073,58,918073,58
snapshot,615816,224,858195,16
snapshot-isolation,652378,109,776653,51
snapstodevicepixels,780770,46,780770,46
snarl,883930,22,883930,22
sniffer,695057,309,564646,113
sniffing,661213,322,629916,55
snippets,691946,495,862126,11
snk,635088,68,635088,68
snmp,606348,111,840802,21
snoopy,568060,158,568060,158
so-browser-enhancement,871288,136,871288,136
so-tool,891158,217,600124,128
soa,617859,350,731943,32
soap,566855,1507,767316,9
soap-client,578306,254,941709,25
soap-extension,676982,155,676982,155
soap-serialization,737040,540,809529,27
soapexception,956414,22,956414,22
soappy,679302,248,870455,26
soapui,923277,70,881466,36
socat,893730,63,893730,63
social,811246,2158,923660,15
social-graph,785327,172,785327,172
social-networking,588062,745,688419,21
socialnetwork,726415,74,726415,74
socialnetworking,745570,2537,809553,24
socket,603046,623,873274,26
socket-programming,583637,362,879033,31
socket-server,759905,49,759905,49
socketexception,643774,153,674892,107
sockets,583940,777,861563,22
socks,717834,66,948535,26
sofaq,704353,4810,882921,25
sofaq-official,838612,88,838612,88
sofaq-proposed,597245,321,838612,88
sofea,817617,67,817617,67
soft,876655,57,876655,57
soft-core,566158,192,566158,192
soft-phone,672768,77,672768,77
soft-references,862648,86,862648,86
softcoding,823610,274,823610,274
softreference,632039,98,868203,91
software,656981,3484,935676,20
software-architect,796867,294,725193,78
software-architecture,934002,71,934002,71
software-bundling,629355,165,629355,165
software-choice,886952,20,886952,20
software-companies,670930,140,670930,140
software-design,566159,677,834637,51
software-development,745570,2537,825469,37
software-development-lif,784102,152,784102,152
software-distribution,810314,244,871514,37
software-engineer,818537,42,818537,42
software-engineering,611233,2147,861494,27
software-marketing,719148,129,570331,111
software-packaging,572979,209,572979,209
software-pricing,572006,109,572006,109
software-process,874762,40,874762,40
software-processes,790209,168,790209,168
software-quality,578359,2440,660725,79
software-release,670872,88,670872,88
software-tools,899699,911,688629,18
software-update,734805,37,734805,37
software-wars,729840,499,729840,499
softwarestack,848515,86,848515,86
softwaresupport,658629,163,658629,163
soil,735493,96,599264,76
solaris,604184,380,704631,29
solid,642562,376,593455,93
solidworks,863727,10,863727,10
solo-developer,829497,161,829497,161
solr,775161,238,936723,9
solstice,704108,65,704108,65
solution,748261,493,890206,36
solution-deployment,826583,88,826583,88
solution-structure,707017,211,707017,211
solved,942207,126,886427,37
solver,750984,182,750984,182
solving-the-wrong-problem,681659,181,681659,181
somewhat-off-topic,857854,47,857854,47
sonar,950273,30,950273,30
sonatype,846957,37,846957,37
sony,901378,12,901378,12
sop,728456,161,728456,161
soql,925338,15,925338,15
sort,613183,608,872902,23
sort-by-name,878249,110,878249,110
sortable,696220,651,938984,16
sortables,848432,67,848432,67
sorted,736556,381,951150,28
sorteddictionary,831643,96,831643,96
sortedlist,679402,314,761001,86
sortedset,581677,227,581677,227
sorting,617088,581,950006,10
sos,769619,169,806034,18
sound,616897,584,828720,28
sound-api,765660,115,846616,78
soundex,776510,149,931046,50
sounds,695241,133,757888,43
source,807502,828,960662,16
source-code,903754,1157,915541,27
source-code-embedding,924787,14,924787,14
source-code-management,651562,108,957042,22
source-code-protection,818687,55,818687,55
source-code-quality,731483,208,731483,208
source-coding,671588,141,671588,141
source-control,758279,1532,806034,18
source-control-explorer,906105,97,906105,97
source-indexing,690492,132,690492,132
source-monitor,600513,71,600513,71
source-server,690492,132,690492,132
sourcecontrol,619522,165,796926,37
sourceforge,790986,110,790986,110
sourcegear-vault,672976,111,672976,111
sourcelinks,784333,51,784333,51
sources,892332,64,892332,64
sourcesafe,567405,425,830150,31
sourceserver,886009,35,886009,35
sox,757938,49,761744,32
sp-addlinkedserver,841339,96,841339,96
sp-msforeachdb,738914,61,738914,61
sp-reset-connection,641120,382,641120,382
sp1,632587,185,863787,32
space,697621,181,822339,53
space-efficiency,576810,353,820354,76
space-hardening,576774,689,576774,689
spaces,632322,561,891521,37
spacing,655281,129,839169,70
spaghetti-code,588441,498,589175,183
spam,892193,196,723572,37
spam-detection,770238,168,770238,168
spam-filtering,719983,235,684995,51
spam-prevention,713247,801,809674,21
spamassassin,823158,105,622983,88
span,735359,433,947615,34
spanish,647041,592,647041,592
sparc,702097,143,814823,61
sparetime,755388,176,755388,176
spark-view-engine,649768,278,861866,65
sparql,725261,371,851332,42
sparse-matrix,713878,252,840360,159
spatial,586444,179,620323,24
spawn,642877,85,923647,29
spawning,805045,213,755372,71
speadsheet,958364,19,958364,19
spec,749160,58,881830,39
spec#,777368,76,777368,76
special,781667,137,947612,44
special-characters,576095,929,936701,45
special-values,570669,1211,570669,1211
special-variable,711222,155,711222,155
specialcharacters,945543,47,945543,47
specialization,760711,189,912993,51
specific,912538,30,912538,30
specific-stylesheets,945428,59,945428,59
specification,769963,195,596826,104
specification-pattern,567868,112,844097,58
specifications,677901,795,663409,22
specman,879646,84,907577,10
specs,590002,387,706963,158
spectral-density,662548,95,662548,95
spectral-norm,570311,136,570311,136
spectrum,604453,446,604453,446
speculative,784173,371,897261,226
speech,585745,331,896029,26
speech-recognition,609528,304,942312,31
speech-synthesis,811816,66,811816,66
speech-to-text,664984,170,942312,31
speed,728645,1438,891312,35
speed-testing,766335,313,766335,313
speed-up,863867,124,721600,86
speedbar,948343,59,948343,59
speedup,583646,126,583646,126
spell-checking,679198,44,679198,44
spellchecker,862699,58,897833,50
spellchecking,717222,269,925547,21
spelling,912486,66,618037,63
spf,730547,178,730547,178
spgridview,597129,269,870344,75
sphere,937831,33,937831,33
sphinx,737275,631,858579,21
spid,569688,153,569688,153
spider,706460,473,905057,25
spidermonkey,639514,152,685076,71
spim,823896,65,823896,65
spin-control,821839,37,821839,37
spinlock,943245,72,943245,72
spinner,821839,37,569098,35
spinning,852605,68,852605,68
spiral,945265,40,945265,40
spl,837649,86,947063,24
splash-screen,722471,312,941066,56
splat,776462,174,921403,70
splice,713401,169,948894,31
spline,785097,170,949720,34
splint,741400,112,938526,30
split,634777,1107,930290,31
split-testing,752919,164,826298,24
splitter,910655,58,811023,24
splitting,691184,566,836440,86
spml,775059,29,775059,29
spoofing,616980,191,867928,56
spool,625454,67,625454,67
sports,650182,611,693157,58
spotlight,815480,93,821969,52
spreadsheet,736390,183,957460,15
spreadsheet-excel-writer,850182,29,850182,29
spreadsheets,643643,622,954926,12
spring,578305,842,923585,12
spring-aop,769084,201,938114,25
spring-dm,927708,34,927708,34
spring-framework,633158,458,950675,19
spring-integration,789416,196,789416,196
spring-jdbc,827110,131,827110,131
spring-modules,583420,305,583420,305
spring-mvc,697778,1083,956893,14
spring-security,635173,251,950675,19
spring-test,589563,59,589563,59
spring-webflow-2,946242,29,946242,29
spring-ws,794899,144,950675,19
springsource,682318,200,682318,200
springûnet,678714,229,910822,12
sprint,626892,168,626892,168
sprintf,610406,707,891637,44
sprite,669482,545,900184,37
sproc,648086,205,770789,36
spsite,806533,52,945299,6
spsitedataquery,938745,23,938745,23
spss,657789,52,945299,6
spu,810376,31,810376,31
spweb,738508,78,738508,78
spy,837104,25,837104,25
spy++,694869,77,694869,77
spying,810433,179,810433,179
spyware,805715,56,805715,56
sq,625159,90,625159,90
sql,612231,3501,944383,7
sql-authentication,807866,67,807866,67
sql-bulk-import,579406,321,579406,321
sql-ce,585969,181,884534,36
sql-connection,611023,143,611023,143
sql-data-services,815743,36,589559,31
sql-developer,666554,187,657336,126
sql-injection,619991,496,945584,51
sql-management-studio,846336,100,881900,24
sql-optimization,865824,76,865824,76
sql-query,602818,183,717637,55
sql-scripts,569271,96,710110,65
sql-select,611676,428,611676,428
sql-server-agent,667263,302,865042,59
sql-server-data-services,589559,31,589559,31
sql-smo,616717,90,616717,90
sql-variant,858323,69,858323,69
sql-view,763802,84,910881,16
sqlagent,733338,172,921469,20
sqlalchemy,737085,278,939893,12
sqlanywhere,585355,224,936214,30
sqlbindparameter,678060,166,915922,59
sqlbrowser,667559,685,667559,685
sqlbulkcopy,779478,75,923731,21
sqlcachedependency,605471,84,642848,71
sqlce,583278,578,683760,22
sqlclient,605294,110,937083,45
sqlclr,591191,226,840552,29
sqlcmd,799465,350,833678,22
sqlcommand,801909,157,767072,42
sqlcompact,646838,118,853285,13
sqlcompare,950711,181,950711,181
sqlconnection,804097,162,884047,45
sqlconnectionpool,639820,88,639820,88
sqldataadapter,940348,21,940348,21
sqldatareader,762861,311,912948,39
sqldatasource,590974,1104,954483,19
sqldbtype,629508,146,629508,146
sqldmo,825687,44,825687,44
sqlexception,742153,261,840334,48
sqlexpress,734943,262,958581,23
sqlhelper,674752,87,674752,87
sqlhistory,650238,262,650238,262
sqlinjection,910465,685,802459,37
sqlite,643682,589,913345,9
sqlite3,823706,171,867023,30
sqlldr,831997,52,788136,50
sqlloader,685381,139,898872,65
sqlmembershipprovider,682788,335,841052,36
sqlmetal,576517,107,923184,13
sqlncli,858624,114,858624,114
sqlobject,592332,215,592332,215
sqlparameters,926142,77,926142,77
sqlperformance,685677,104,685677,104
sqlplus,643137,1082,926323,35
sqlprofiler,641120,382,862848,43
sqlpubwiz,700238,39,700238,39
sqlquery,844527,134,755286,58
sqlserver,605996,1920,949435,9
sqlserver-administration,896810,114,891512,28
sqlserver2000,651524,495,887588,13
sqlserver2005,576441,1496,944383,7
sqlserver2005express,751522,389,851876,23
sqlserver2008,639854,1151,949241,5
sqlserver2008express,667559,685,915512,17
sqlserver2008r2,862133,34,862133,34
sqlserver7,761700,172,748817,19
sqlserveragent,960240,22,960240,22
sqlserveranalysisservices,731672,9,731672,9
sqlservercompactedition,577222,293,770206,31
sqlserverexpress,670036,274,906270,17
sqlserverinstance,811667,34,811667,34
sqlservermanagementstudio,577222,293,832000,24
sqlserverprofiler,745993,39,745993,39
sqlsqlerver,869312,18,869312,18
sqlsyntax,732909,129,732909,129
sqltools,834439,45,834439,45
sqlwindows,779502,85,779502,85
sqlxml,687446,288,774091,25
sqlxmlreader,710240,90,710240,90
sqs,901501,44,901501,44
sqsh,811616,25,811616,25
square,910097,101,910097,101
square-bracket,956887,35,956887,35
squeak,711140,16523,843840,23
squid,629122,235,737362,42
squirrel-sql,919102,64,697165,63
src,693698,204,926790,42
srcsrv,694665,76,694665,76
srctool,694665,76,694665,76
srp,709857,174,619900,32
sruct,709297,97,709297,97
ssa,610956,1692,593358,149
ssas,595846,192,897287,16
ssd,908188,199,759501,89
ssds,616447,58,589559,31
sse,586609,576,832133,54
ssh,570450,529,900763,21
ssh-keys,591766,231,597204,60
sshfs,712646,65,880330,54
ssi,655513,43,842812,18
ssid,917910,111,917910,111
ssis,753211,613,950407,9
ssl,798266,816,955042,8
ssl-certificate,652916,1176,907302,25
ssl-requirement,763863,137,763863,137
sslstream,695802,236,836398,24
ssma,601094,1026,601094,1026
ssms,757800,182,912263,15
ssms2008,722217,157,931931,20
ssmtp,764778,130,764778,130
sso,798911,335,836439,16
sspi,630183,139,820004,113
ssrs,571185,866,897292,9
sstream,727737,149,823003,80
st,934127,48,934127,48
stability,585457,162,615834,73
stack,655308,762,896133,40
stack-based,722543,64,722543,64
stack-machine,593358,149,593358,149
stack-overflow,692443,541,855394,55
stack-size,617513,353,924430,45
stack-trace,616653,419,691719,231
stack-vs-heap,861045,239,861045,239
stackalloc,785226,138,785226,138
stacked,568087,202,568087,202
stackframe,889310,47,889310,47
stackless,588958,597,960969,31
stacklimit,894666,36,894666,36
stackoverflow,629340,2018,840153,31
stackoverflow-answer,953843,40,953843,40
stackoverflow-error,656549,3103,656549,3103
stackoverflow-exception,578279,74,578279,74
stackoverflow-flair,891158,217,891158,217
stackoverflow-podcast,822419,157,822419,157
stackoverflowerror,951635,255,951635,255
stackoverflowexception,904999,343,831499,52
stackpanel,832216,113,957771,18
stacktrace,591857,530,887518,18
staf,922441,127,922441,127
staffing,932448,363,582890,247
stage,833466,210,930791,53
staging,565647,258,633006,127
stand-alone,619923,158,619923,158
standalone,810307,168,950790,78
standard,622339,439,941534,50
standard-library,637986,1020,823116,99
standard-output,950026,151,791610,70
standardized,946178,145,946178,145
standardml,686833,157,686833,157
standards,582244,705,660492,24
standards-compliance,646742,1004,867853,17
standby,959841,10,959841,10
star,916770,103,916770,103
star-schema,840193,100,938318,31
star-value,703577,268,703577,268
starling,679761,93,679761,93
starschema,838169,40,938318,31
start,564936,163,944144,34
start-page,778306,17,778306,17
start-process,651223,244,835717,59
start-search,849198,20,849198,20
start-step-stop-codes,605480,165,605480,165
starteam,566233,116,899184,11
starter-kits,929043,42,880553,14
starting-out,682326,341,693639,99
starting-over,675846,723,675846,723
startmenu,892442,85,892442,85
startswith,646628,329,959480,26
startup,797596,887,838737,28
startupfolder,695689,180,695689,180
startups,593651,422,685474,25
startupscript,669976,154,639625,128
state,609487,350,768830,44
state-machine,719779,148,905755,31
state-machines,747961,116,884081,22
state-monad,607830,509,607830,509
state-pattern,904503,36,904503,36
state-server,617256,467,617256,467
stateful,632990,254,632990,254
stateful-session-bean,858233,236,858233,236
stateless-session-beans,714412,129,718411,127
statemachine,603035,350,949871,88
statement,776990,343,895951,58
states,657281,301,657281,301
static,656226,1148,907577,10
static-analysis,639694,542,854716,27
static-assert,913338,15,913338,15
static-cast,745757,230,594135,143
static-classes,817838,122,817838,122
static-code-analysis,739594,211,640057,59
